Sr.no.,Village,Survey No.,Area in NA Order,Dated,NA Order No.,Lease Deed Doc. No.,Lease Area,Lease Start,Lease End,Status
133,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
134,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
135,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
136,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
137,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
138,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
139,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
140,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
141,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
142,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
143,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
144,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
145,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
146,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
147,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
148,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
149,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
150,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
151,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
152,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
153,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
154,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
155,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
156,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
157,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
158,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
159,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
160,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
161,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
162,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
163,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
164,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
165,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
166,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
167,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
168,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
169,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
170,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
171,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
172,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
173,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
174,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
175,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
176,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
177,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
178,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
179,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
180,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
181,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
182,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
183,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
184,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
185,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
186,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
187,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
188,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
189,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
190,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
191,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
192,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
193,Rampura Mota,S.No.-257,,,GJ-257-837,Deed-837,,,,SUCCESS
